site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M1281,SAGR,Agurētti,{uru}SIG{4}.AL.ÙR.RA{meš},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,3,URUK Region,,,uru; meš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,Possibly See Til-agurrēti,Basin of LOC-1,M1853,,,,,,IQ,,
M6349,SAUM,Àlu-ša-{lú}U.MEK{me},URU šá {lú}U.MEK{me}; PN šá URU šá {lú}U.MEK{me} ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,21,Not far from URUK,Possible,Àlu,lú,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,"U.MEK{me}""",Professional,,,See M7899,,,,,,,,IQ,,
M3205,TAGR,Til-Agurrēti,{uru}DU{6}-a-gur(?)-re-e-tu{4}; {uru}til-la-a-gur-ri{meš}; {uru}til-li-a-gur-ru{meš} ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru}DU{6}-a-gur-ri{meš}; {uru}DU{6}-a-gur-ru{meš}; {uru}t[í]l(?)-l[i(?)-[…]; {garim}DU{6}-a-gur-re-e-ti; {garim}DU{6}-a-gur-[re]-e-tú; DU{6}-a-gur-re-e-ti; DU{6}-a-gur-re-e-tú; DU{6}-a-gur-<<a>>-re-e-ti; DU{6}-a-gur-ru-e-ti; A.ŠA{meš} NÌ.GA {d}INNIN UNU{ki} šá DU{6}-a-gur-ru-tu{4}; {garim}ši-i-ḫi šá DU{6}-a-gur-ri,,,ZadokGeographicalNamesAccording1985,308,URUK Region,,Til,garim; meš; d; ki; uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Agurrēti,Appellative,,,"See CAD A-1, 160+",Not far from LOC-1; Text Connection to LOC-2,M8073,,M7880,,,,IQ,,
M8064,WNAB,Nāru-ša-Anu-Bēlšunu,I{7} šá {md}DIŠ-EN-šú-nu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,390,In URUK,,Nar(u),m; d,Iso639-3.sil.org/code/akk,,Anu Bēlšunu,Personal,,,,,,,,,,,IQ,,
M5679,SKEN,Kār-Eanna,{uru}KAR-é-an-na; A.ŠÀ qè-rab KAR-é-an-na ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,195,Near URUK,,Kar,uru,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Eanna,Place,,,,,,,,,,,IQ,,
M5477,WHAB,Ḫarru-ša-Abdâ,ÍD ḫar-ri šá {m}Ab-da-a,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,142,URUK Region,Possible,Ḫarru,m,Iso639-3.sil.org/code/akk,Possible,Abdâ,Personal,Possible,,Abda is a Personal Name,,,,,,,,IQ,,
M4282,SABR,Bīt-Abi-rīm,{uru}É-AD-ri-im,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,79,***,,Bit,uru,Iso639-3.sil.org/code/sem,,Abi-rīm,Personal,Possible,,"LOC-1 Marked with ""?""",In LOC-1; mentioned with LOC-2,M4029,Possible,M1398,,,,IQ,,
M5452,WNBA,Nār-bāb-Adad,ÍD ina KÁ.GAL {d}IM,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,150,In URUK,,Nar(u),d,Iso639-3.sil.org/code/akk,Possible,Adad,Divine,,,Specifically attested INSIDE City Walls,Flowed into LOC-1,M1853,,,,,,IQ,,
M4423,WHSA,Ḫarru-ša-abul-{d}Adad,ÍD ḫa-ri šá abul {d}IM,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,142,In/Around URUK,,Ḫarru,d,Iso639-3.sil.org/code/akk,Possible,Adad,Divine,,,Additional connections possible,"Connected to LOC-1, LOC-2, & LOC-3",M6878,,M1853,M7099,,,IQ,,
M2953,SASD,Àlu-ša-Admu,URU šá-ad-mu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,7,Not far from URUK,Possible,Àlu,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Admu,,,,AKA Šadmu,,,,,,,,IQ,,
